Total Loss,Targets,Psi,Time,Convergence
0.27589705175950874,[5.35220359e+03 2.68728364e-01 3.27037853e-02],[4.728588207038035],00:21:11,False
0.2529196666907143,[4.69313822e+03 2.51617534e-01 2.73187237e-02],[4.636678666762857],00:21:37,False
0.30811910155237365,[8.49925312e+03 4.09559604e-01 2.96234829e-02],[4.857476406209495],00:16:01,False
0.84375,[1.20413080e+04 3.43946022e-01 3.18488279e-02],[7.0],01:00:21,True
0.84375,[8.65923956e+03 2.75489937e-01 2.21184259e-02],[7.0],00:37:46,True
0.21814399406958285,[9.10268067e+03 3.54410262e-01 3.03771118e-02],[4.497575976278331],00:17:57,False
0.30731083187097985,[7.40294721e+03 4.49687159e-01 3.09720372e-02],[4.854243327483919],00:21:05,False
0.2503357222777669,[5.70427588e+03 4.13889669e-01 2.59733605e-02],[4.626342889111068],00:19:30,False
0.251736787063056,[1.00218693e+04 3.36756901e-01 2.92677603e-02],[4.631947148252224],00:23:46,False
0.34612472209175316,[6.49263112e+03 3.09998802e-01 2.32871413e-02],[5.009498888367013],00:28:02,False
0.3177864658012961,[1.09646933e+04 3.21066738e-01 2.37138324e-02],[4.896145863205184],00:26:13,False
0.342349597955506,[6.63662584e+03 3.61900555e-01 2.66836084e-02],[4.994398391822024],00:25:06,False
0.29792457463489685,[1.14259346e+04 4.30719712e-01 2.24461884e-02],[4.816698298539587],00:21:24,False
0.84375,[1.36593802e+04 3.68075858e-01 3.35175341e-02],[7.0],00:16:54,True
0.24959794220990816,[4.41998462e+03 3.84150631e-01 2.86509730e-02],[4.623391768839633],00:19:46,False
0.3033812272466079,[1.37255253e+04 4.21909120e-01 3.43493441e-02],[4.8385249089864315],00:17:48,False
0.2879124803985389,[3.78831259e+03 3.22212970e-01 2.50554440e-02],[4.776649921594156],00:16:03,False
0.3456906220277678,[7.74528902e+03 2.82905169e-01 3.13425947e-02],[5.007762488111071],00:24:39,False
0.84375,[1.30831942e+04 2.91800489e-01 2.81450504e-02],[7.0],00:16:27,True
0.84375,[1.55188199e+04 2.96177243e-01 2.52987809e-02],[7.0],00:26:01,True
0.84375,[3.31735707e+03 4.00425138e-01 2.31372014e-02],[7.0],00:27:48,True
0.84375,[1.22738712e+04 2.36815727e-01 3.29782129e-02],[7.0],01:22:09,True
0.3007101409856012,[1.01908786e+04 4.37389775e-01 3.01584630e-02],[4.827840563942405],00:16:14,False
0.84375,[1.52143077e+04 2.54158115e-01 2.68678881e-02],[7.0],00:51:45,True
0.30294218498439895,[1.42948754e+04 3.77233925e-01 2.46862065e-02],[4.836768739937596],00:19:38,False
0.24983542364128852,[4.89601154e+03 3.09849620e-01 2.98615858e-02],[4.624341694565154],00:16:27,False
0.2583976914978825,[3.57642705e+03 2.80786679e-01 2.98100732e-02],[4.65859076599153],00:17:44,False
0.3424142813084037,[6.43869298e+03 3.24920374e-01 2.94593103e-02],[4.994657125233615],00:20:29,False
0.3031291066316346,[1.20706429e+04 4.52959927e-01 2.99495395e-02],[4.8375164265265385],00:17:34,False
0.33913367689209273,[5.03177221e+03 2.77467042e-01 2.84774646e-02],[4.981534707568371],00:23:23,False
0.2516069054586747,[4.20580917e+03 2.37863278e-01 3.13597464e-02],[4.631427621834699],00:20:29,False
0.25010267000411757,[8.92062740e+03 3.36767711e-01 2.83691440e-02],[4.62541068001647],00:17:10,False
0.26710277165731,[5.19661225e+03 4.29751905e-01 3.10862472e-02],[4.69341108662924],00:15:16,False
0.34474746384558985,[4.47013401e+03 3.54322247e-01 3.23918388e-02],[5.003989855382359],00:20:10,False
0.28921525063954445,[1.38294133e+04 4.17049909e-01 2.31573109e-02],[4.781861002558178],00:18:01,False
0.305021674598813,[8.77020543e+03 3.32507028e-01 3.27721923e-02],[4.845086698395252],00:18:17,False
0.24182471439697117,[1.10482116e+04 3.63477987e-01 2.16336912e-02],[4.592298857587885],00:16:51,False
0.25834297542436757,[3.35092526e+03 2.40536550e-01 2.53818952e-02],[4.65837190169747],00:18:01,False
0.29680565044598106,[1.48640131e+04 4.47631438e-01 3.07613697e-02],[4.812222601783924],00:16:54,False
0.84375,[5.97545004e+03 4.53757983e-01 2.78774907e-02],[7.0],00:48:14,True
0.2565045928231149,[2.93695781e+03 2.65110439e-01 3.34147181e-02],[4.6510183712924595],00:16:36,False
